STATION,ZIPCODE
15 ST-PROSPECT,11215
4 AV-9 ST,11215
4AV-9 ST,11215
7 AV,11215
PROSPECT AV,11215
18 AV,11204
20 AV,11204
18 AV,11214
20 AV,11214
25 AV,11214
79 ST,11214
BAY PKWY,11214
18 AV,11218
CHURCH AV,11218
DITMAS AV,11218
FT HAMILTON PKY,11218
25 ST,11232
36 ST,11232
9 AV,11232
45 ST,11220
53 ST,11220
59 ST,11220
8 AV,11220
BAY RIDGE AV,11220
50 ST,11219
55 ST,11219
FT HAMILTON PKY,11219
FT HAMILTON PKY,11219
NEW UTRECHT AV,11219
7 AV,11217
ATL AV-BARCLAY,11217
ATL AV-BARCLAY,11217
BERGEN ST,11217
FULTON ST,11217
LAFAYETTE AV,11217
UNION ST,11217
71 ST,11228
77 ST,11209
86 ST,11209
BAY RIDGE-95 ST,11209
86 ST,11223
AVENUE P,11223
AVENUE U,11223
AVENUE U,11223
AVENUE X,11223
BAY 50 ST,11223
BAY PKWY,11223
KINGS HWY,11223
KINGS HWY,11223
ALABAMA AV,11207
ATLANTIC AV,11207
BUSHWICK AV,11207
CHAUNCEY ST,11207
LIBERTY AV,11207
LIVONIA AV,11207
NEW LOTS,11207
PENNSYLVANIA AV,11207
SUTTER AV,11207
VAN SICLEN AV,11207
VAN SICLEN AV,11207
VAN SICLEN AVE,11207
WILSON AV,11207
AVENUE H,11230
AVENUE I,11230
AVENUE J,11230
AVENUE M,11230
AVENUE N,11230
BAY PKWY,11230
AVENUE U,11229
KINGS HWY,11229
NECK RD,11229
BEDFORD AV,11211
GRAHAM AV,11211
GRAND ST,11211
HEWES ST,11211
LORIMER ST,11211
MARCY AV,11211
METROPOLITAN AV,11211
BEDFORD-NOSTRAN,11216
FRANKLIN AV,11216
KINGSTON-THROOP,11216
NOSTRAND AV,11216
NOSTRAND AV,11216
BERGEN ST,11201
BOROUGH HALL,11201
BOROUGH HALL,11201
CLARK ST,11201
DEKALB AV,11201
HIGH ST,11201
HOYT ST,11201
HOYT-SCHER,11201
JAY ST-METROTEC,11201
JAY ST-METROTEC,11201
NEVINS ST,11201
YORK ST,11201
BEVERLEY ROAD,11226
BEVERLY RD,11226
CHURCH AV,11226
CHURCH AV,11226
CORTELYOU RD,11226
NEWKIRK PLAZA,11226
BOTANIC GARDEN,11225
FRANKLIN AV,11225
PARKSIDE AV,11225
PRESIDENT ST,11225
PROSPECT PARK,11225
STERLING ST,11225
WINTHROP ST,11225
BRIGHTON BEACH,11235
OCEAN PKWY,11235
SHEEPSHEAD BAY,11235
BROADWAY,11206
FLUSHING AV,11206
FLUSHING AV,11206
LORIMER ST,11206
MONTROSE AV,11206
MYRTLE AV,11206
MYRTLE-WILLOUGH,11206
BROADWAY JCT,11233
RALPH AV,11233
ROCKAWAY AV,11233
UTICA AV,11233
CANARSIE-ROCKAW,11236
EAST 105 ST,11236
CARROLL ST,11231
SMITH-9 ST,11231
CENTRAL AV,11221
GATES AV,11221
HALSEY ST,11221
KOSCIUSZKO ST,11221
CLASSON AV,11205
CLINTON-WASH AV,11205
CLEVELAND ST,11208
CRESCENT ST,11208
CYPRESS HILLS,11208
EUCLID AV,11208
GRANT AV,11208
NEW LOTS AV,11208
NORWOOD AV,11208
SHEPHERD AV,11208
CLINTON-WASH AV,11238
EASTN PKWY-MUSM,11238
GRAND ARMY PLAZ,11238
PARK PLACE,11238
CONEY IS-STILLW,11224
NEPTUNE AV,11224
W 8 ST-AQUARIUM,11224
CROWN HTS-UTICA,11213
KINGSTON AV,11213
DEKALB AV,11237
JEFFERSON ST,11237
KNICKERBOCKER,11237
MORGAN AV,11237
MYRTLE-WYCKOFF,11237
FLATBUSH AV-B.C,11210
NEWKIRK AV,11210
GREENPOINT AV,11222
NASSAU AV,11222
JUNIUS ST,11212
ROCKAWAY AV,11212
SARATOGA AV,11212
SUTTER AV-RUTLD,11212
